title,text,label
Tech company announces quarterly earnings above analyst expectations,"According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
City council approves new budget for road infrastructure repairs,"The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols. The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols.",0
Public health officials report decline in flu cases this season,"The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols. The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols.",0
"Company recalls product due to potential safety hazard, consumers urged to return","The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters. The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters.",0
"Breaking: President arrested for treason, military takeover imminent",A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear. A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear.,1
City announces plan to expand public transportation network by 2026,"The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols. The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols.",0
Researchers publish findings on effectiveness of new diabetes medication,"In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns. In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns.",0
Archaeologists uncover ancient settlement during highway construction project,"In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns. In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns.",0
Election results certified after routine audit confirms accuracy,"In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns. In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns.",0
Bill Gates admits microchips inserted into COVID vaccines in secret recording,An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening. An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening.,1
"Central bank holds interest rates steady, cites economic uncertainty","According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
Tech company admits to mind-reading technology installed in smartphones,Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
International summit on climate change concludes with updated commitments,"According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
Public health officials report decline in flu cases this season,"Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter. Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter.",0
Annual report shows improvement in national literacy rates among children,"In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns. In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns.",0
Scientists discover new species of deep-sea fish in Pacific Ocean,"The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols. The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols.",0
"Democrats planning to ban all guns by end of month, secret memo leaked",Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up. Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up.,1
New report highlights progress in renewable energy adoption worldwide,"The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters. The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters.",0
City council approves new budget for road infrastructure repairs,"In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns. In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns.",0
Doctor reveals drinking bleach can cure COVID-19,Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
Federal Reserve raises interest rates by 0.25 percent amid inflation concerns,"Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter. Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter.",0
LEAKED: CIA documents prove moon landing was filmed in Hollywood,Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
"Earth is actually flat, NASA whistleblower reveals the truth",Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up. Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up.,1
Election results certified after routine audit confirms accuracy,"The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters. The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters.",0
"5G towers proven to spread coronavirus, study reveals",A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear. A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear.,1
"5G towers proven to spread coronavirus, study reveals",Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up. Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up.,1
"Earth is actually flat, NASA whistleblower reveals the truth",Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
University researchers develop more efficient solar panel technology,"The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols. The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols.",0
International summit on climate change concludes with updated commitments,"The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols. The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols.",0
Election results certified after routine audit confirms accuracy,"The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters. The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters.",0
